id,category,expected,predicted,pass,turnCount,finalConfidence,finalDominanceMargin,winningComposite
"conflicted-60","Conflicted","conflicted","conflicted","true","1","0.400","0.276","conflicted"
"conflicted-61","Conflicted","conflicted","conflicted","true","1","0.350","0.036","conflicted"
"conflicted-62","Conflicted","conflicted","sarcastic","false","1","0.350","0.263","sarcastic"
"conflicted-63","Conflicted","conflicted","conflicted","true","1","0.350","0.176","conflicted"
"conflicted-64","Conflicted","conflicted","conflicted","true","1","0.350","0.105","conflicted"
"conflicted-65","Conflicted","conflicted","sad","false","1","0.350","0.000",""
"conflicted-66","Conflicted","conflicted","sarcastic","false","1","0.350","0.263","sarcastic"
"conflicted-67","Conflicted","conflicted","conflicted","true","1","0.350","0.176","conflicted"
"conflicted-68","Conflicted","conflicted","conflicted","true","1","0.350","0.036","conflicted"
"conflicted-69","Conflicted","conflicted","sad","false","1","0.350","0.000",""
"sarcastic-70","Sarcastic","sarcastic","angry","false","1","0.200","0.374",""
"sarcastic-71","Sarcastic","sarcastic","angry","false","1","0.300","0.784",""
"sarcastic-72","Sarcastic","sarcastic","angry","false","1","0.250","1.000",""
"sarcastic-73","Sarcastic","sarcastic","frustrated","false","1","0.200","0.037","frustrated"
"sarcastic-74","Sarcastic","sarcastic","silent","false","1","0.200","",""
"sarcastic-75","Sarcastic","sarcastic","angry","false","1","0.250","1.000",""
"sarcastic-76","Sarcastic","sarcastic","angry","false","1","0.250","0.797",""
"sarcastic-77","Sarcastic","sarcastic","angry","false","1","0.250","1.000",""
"sarcastic-78","Sarcastic","sarcastic","angry","false","1","0.200","0.698",""
"sarcastic-79","Sarcastic","sarcastic","angry","false","1","0.250","0.797",""
"sarcastic-80","Sarcastic","sarcastic","angry","false","1","0.150","0.684",""
"sarcastic-81","Sarcastic","sarcastic","angry","false","1","0.250","1.000",""
"sarcastic-82","Sarcastic","sarcastic","silent","false","1","0.200","",""
"sarcastic-83","Sarcastic","sarcastic","angry","false","1","0.250","1.000",""
"sarcastic-84","Sarcastic","sarcastic","angry","false","1","0.200","0.769",""
"frustrated-85","Frustrated","frustrated","frustrated","true","1","0.200","0.037","frustrated"
"frustrated-86","Frustrated","frustrated","angry","false","1","0.220","0.316",""
"frustrated-87","Frustrated","frustrated","frustrated","true","1","0.200","0.037","frustrated"
"frustrated-88","Frustrated","frustrated","angry","false","1","0.250","1.000",""
"frustrated-89","Frustrated","frustrated","silent","false","1","0.200","",""
"frustrated-90","Frustrated","frustrated","frustrated","true","1","0.200","0.037","frustrated"
"frustrated-91","Frustrated","frustrated","angry","false","1","0.220","1.000",""
"frustrated-92","Frustrated","frustrated","angry","false","1","0.250","0.843",""
"frustrated-93","Frustrated","frustrated","silent","false","1","0.200","",""
"frustrated-94","Frustrated","frustrated","angry","false","1","0.220","1.000",""
"frustrated-95","Frustrated","frustrated","angry","false","1","0.200","0.273",""
"frustrated-96","Frustrated","frustrated","silent","false","1","0.200","",""
"frustrated-97","Frustrated","frustrated","angry","false","1","0.220","1.000",""
"frustrated-98","Frustrated","frustrated","angry","false","1","0.200","0.818",""
"frustrated-99","Frustrated","frustrated","angry","false","1","0.200","0.273",""
"anxious-100","Anxious","anxious","silent","false","1","0.200","",""
"anxious-101","Anxious","anxious","sad","false","1","0.250","0.636",""
"anxious-102","Anxious","anxious","silent","false","1","0.200","",""
"anxious-103","Anxious","anxious","sad","false","1","0.300","0.333",""
"anxious-104","Anxious","anxious","sad","false","1","0.220","0.429",""
"anxious-105","Anxious","anxious","sad","false","1","0.250","0.333",""
"anxious-106","Anxious","anxious","silent","false","1","0.200","",""
"anxious-107","Anxious","anxious","sad","false","1","0.300","0.429",""
"anxious-108","Anxious","anxious","silent","false","1","0.200","",""
"anxious-109","Anxious","anxious","sad","false","1","0.220","0.429",""
"anxious-110","Anxious","anxious","silent","false","1","0.200","",""
"anxious-111","Anxious","anxious","sad","false","1","0.300","0.333",""
"anxious-112","Anxious","anxious","sad","false","1","0.220","0.429",""
"anxious-113","Anxious","anxious","sad","false","1","0.280","0.333",""
"anxious-114","Anxious","anxious","silent","false","1","0.200","",""
"overwhelmed-115","Overwhelmed","overwhelmed","silent","false","1","0.150","",""
"overwhelmed-116","Overwhelmed","overwhelmed","silent","false","1","0.150","",""
"overwhelmed-117","Overwhelmed","overwhelmed","silent","false","1","0.100","",""
"overwhelmed-118","Overwhelmed","overwhelmed","silent","false","1","0.150","",""
"overwhelmed-119","Overwhelmed","overwhelmed","silent","false","1","0.100","",""
"overwhelmed-120","Overwhelmed","overwhelmed","silent","false","1","0.150","",""
"overwhelmed-121","Overwhelmed","overwhelmed","silent","false","1","0.150","",""
"overwhelmed-122","Overwhelmed","overwhelmed","silent","false","1","0.150","",""
"overwhelmed-123","Overwhelmed","overwhelmed","silent","false","1","0.100","",""
"overwhelmed-124","Overwhelmed","overwhelmed","silent","false","1","0.100","",""
"overwhelmed-125","Overwhelmed","overwhelmed","silent","false","1","0.100","",""
"overwhelmed-126","Overwhelmed","overwhelmed","sad","false","1","0.150","1.000",""
"disgust-127","Disgust","disgust","sad","false","1","0.100","0.450",""
"disgust-128","Disgust","disgust","angry","false","1","0.150","0.100",""
"disgust-129","Disgust","disgust","silent","false","1","0.100","",""
"disgust-130","Disgust","disgust","sad","false","1","0.150","0.560",""
"disgust-131","Disgust","disgust","silent","false","1","0.100","",""
"disgust-132","Disgust","disgust","angry","false","1","0.150","0.687",""
"disgust-133","Disgust","disgust","silent","false","1","0.100","",""
"disgust-134","Disgust","disgust","sad","false","1","0.150","0.617",""
"disgust-135","Disgust","disgust","angry","false","1","0.150","0.100",""
"disgust-136","Disgust","disgust","angry","false","1","0.150","0.640",""
"disgust-137","Disgust","disgust","silent","false","1","0.120","",""
"disgust-138","Disgust","disgust","angry","false","1","0.100","0.550",""
"neutral-139","Neutral","silent","silent","true","1","0.800","",""
"neutral-140","Neutral","silent","silent","true","1","0.750","",""
"neutral-141","Neutral","silent","silent","true","1","0.800","",""
"neutral-142","Neutral","silent","silent","true","1","0.780","",""
"neutral-143","Neutral","silent","silent","true","1","0.750","",""
"neutral-144","Neutral","silent","silent","true","1","0.800","",""
"neutral-145","Neutral","silent","silent","true","1","0.750","",""
"neutral-146","Neutral","silent","silent","true","1","0.800","",""
"neutral-147","Neutral","silent","silent","true","1","0.780","",""
"neutral-148","Neutral","silent","silent","true","1","0.800","",""
"neutral-149","Neutral","silent","silent","true","1","0.750","",""
"neutral-150","Neutral","silent","silent","true","1","0.780","",""
"rapid-transitions-151","Rapid Transitions","angry","angry","true","3","0.850","0.068",""
"rapid-transitions-152","Rapid Transitions","sad","sad","true","2","0.800","0.439",""
"rapid-transitions-153","Rapid Transitions","angry","sarcastic","false","2","0.750","0.090","sarcastic"
"rapid-transitions-154","Rapid Transitions","happy","happy","true","2","0.850","0.549",""
"rapid-transitions-155","Rapid Transitions","happy","sarcastic","false","2","0.700","0.294","sarcastic"
"rapid-transitions-156","Rapid Transitions","angry","overwhelmed","false","2","0.600","0.061","overwhelmed"
"rapid-transitions-157","Rapid Transitions","angry","sarcastic","false","2","0.700","0.102","sarcastic"
"rapid-transitions-158","Rapid Transitions","sad","bittersweet","false","2","0.700","0.189","bittersweet"
"rapid-transitions-159","Rapid Transitions","angry","sarcastic","false","2","0.700","0.102","sarcastic"
"rapid-transitions-160","Rapid Transitions","happy","happy","true","2","0.800","0.393",""
"mixed-emotions-161","Mixed Emotions","conflicted","bittersweet","false","1","0.500","0.507","bittersweet"
"mixed-emotions-162","Mixed Emotions","conflicted","sarcastic","false","1","0.500","0.399","sarcastic"
"mixed-emotions-163","Mixed Emotions","bittersweet","bittersweet","true","1","0.500","0.389","bittersweet"
"mixed-emotions-164","Mixed Emotions","conflicted","bittersweet","false","1","0.500","0.548","bittersweet"
"mixed-emotions-165","Mixed Emotions","bittersweet","bittersweet","true","1","0.450","0.485","bittersweet"
"mixed-emotions-166","Mixed Emotions","conflicted","bittersweet","false","1","0.450","0.570","bittersweet"
"mixed-emotions-167","Mixed Emotions","bittersweet","bittersweet","true","1","0.450","0.433","bittersweet"
"mixed-emotions-168","Mixed Emotions","conflicted","sarcastic","false","1","0.450","0.037","sarcastic"
"mixed-emotions-169","Mixed Emotions","bittersweet","bittersweet","true","1","0.450","0.459","bittersweet"
"mixed-emotions-170","Mixed Emotions","bittersweet","bittersweet","true","1","0.500","0.405","bittersweet"
"mixed-emotions-171","Mixed Emotions","conflicted","sarcastic","false","1","0.400","0.253","sarcastic"
"mixed-emotions-172","Mixed Emotions","bittersweet","bittersweet","true","1","0.450","0.141","bittersweet"
"false-positives-173","False Positives","happy","happy","true","1","0.700","1.000",""
"false-positives-174","False Positives","happy","happy","true","1","0.800","1.000",""
"false-positives-175","False Positives","happy","happy","true","1","0.700","1.000",""
"false-positives-176","False Positives","happy","happy","true","1","0.600","0.681",""
"false-positives-177","False Positives","happy","happy","true","1","0.500","1.000",""
"false-positives-178","False Positives","happy","happy","true","1","0.500","1.000",""
"false-positives-179","False Positives","happy","happy","true","1","0.700","1.000",""
"false-positives-180","False Positives","happy","happy","true","1","0.500","1.000",""
"false-positives-181","False Positives","happy","happy","true","1","0.700","1.000",""
"false-positives-182","False Positives","happy","happy","true","1","0.600","1.000",""
"false-positives-183","False Positives","happy","happy","true","1","0.500","1.000",""
"false-positives-184","False Positives","happy","happy","true","1","0.600","1.000",""
"edge-cases-185","Edge Cases","silent","silent","true","1","0.900","",""
"edge-cases-186","Edge Cases","silent","silent","true","1","0.900","",""
"edge-cases-187","Edge Cases","silent","silent","true","1","0.700","",""
"edge-cases-188","Edge Cases","silent","angry","false","1","0.400","1.000",""
"edge-cases-189","Edge Cases","silent","silent","true","1","0.400","",""
"edge-cases-190","Edge Cases","happy","happy","true","1","0.500","1.000",""
"edge-cases-191","Edge Cases","angry","angry","true","1","0.600","1.000",""
"edge-cases-192","Edge Cases","silent","silent","true","1","0.900","",""
"edge-cases-193","Edge Cases","silent","angry","false","1","0.300","0.545",""
"edge-cases-194","Edge Cases","silent","silent","true","1","0.850","",""
"edge-cases-195","Edge Cases","frustrated","silent","false","1","0.300","",""
"edge-cases-196","Edge Cases","anxious","sad","false","1","0.300","0.391",""
"negation-197","Negation","angry","angry","true","1","0.400","0.742",""
"negation-198","Negation","happy","happy","true","1","0.400","1.000",""
"negation-199","Negation","silent","silent","true","1","0.500","",""
"negation-200","Negation","sad","sad","true","1","0.500","0.250",""
"negation-201","Negation","frustrated","angry","false","1","0.300","0.135",""
"negation-202","Negation","anxious","sad","false","1","0.250","0.429",""
"negation-203","Negation","sad","bittersweet","false","1","0.300","0.495","bittersweet"
"negation-204","Negation","happy","happy","true","1","0.600","1.000",""
"negation-205","Negation","angry","angry","true","1","0.350","1.000",""
"negation-206","Negation","happy","happy","true","1","0.400","1.000",""
"negation-207","Negation","sad","sad","true","1","0.550","1.000",""
"negation-208","Negation","sad","sad","true","1","0.550","1.000",""
"idioms-209","Idioms","happy","happy","true","1","0.700","1.000",""
"idioms-210","Idioms","disgust","angry","false","1","0.300","0.382",""
"idioms-211","Idioms","angry","angry","true","1","0.700","1.000",""
"idioms-212","Idioms","sad","sad","true","1","0.600","0.846",""
"idioms-213","Idioms","anxious","sad","false","1","0.300","0.429",""
"idioms-214","Idioms","angry","angry","true","1","0.800","1.000",""
"idioms-215","Idioms","anxious","sad","false","1","0.300","0.385",""
"idioms-216","Idioms","disgust","sad","false","1","0.150","0.149",""
"idioms-217","Idioms","overwhelmed","sad","false","1","0.150","1.000",""
"idioms-218","Idioms","sad","sad","true","1","0.750","1.000",""
"irony-219","Irony","sarcastic","angry","false","1","0.200","0.733",""
"irony-220","Irony","sarcastic","angry","false","1","0.250","1.000",""
"irony-221","Irony","sarcastic","silent","false","1","0.200","",""
"irony-222","Irony","sarcastic","angry","false","1","0.250","1.000",""
"irony-223","Irony","sarcastic","angry","false","1","0.200","0.698",""
"irony-224","Irony","sarcastic","angry","false","1","0.200","0.769",""
"irony-225","Irony","sarcastic","silent","false","1","0.200","",""
"irony-226","Irony","sarcastic","angry","false","1","0.250","0.500",""
"irony-227","Irony","sad","sad","true","1","0.200","1.000",""
"irony-228","Irony","sarcastic","silent","false","1","0.200","",""
"very-short-229","Very Short","silent","silent","true","1","0.700","",""
"very-short-230","Very Short","silent","silent","true","1","0.500","",""
"very-short-231","Very Short","angry","angry","true","1","0.300","1.000",""
"very-short-232","Very Short","happy","happy","true","1","0.400","0.712",""
"very-short-233","Very Short","silent","angry","false","1","0.400","0.500",""
"very-short-234","Very Short","silent","silent","true","1","0.600","",""
"very-short-235","Very Short","angry","angry","true","1","0.250","0.797",""
"very-short-236","Very Short","silent","silent","true","1","0.400","",""
"very-short-237","Very Short","anxious","sad","false","1","0.250","0.341",""
"very-short-238","Very Short","silent","angry","false","1","0.400","0.500",""
"very-long-239","Very Long","overwhelmed","silent","false","1","0.150","",""
"very-long-240","Very Long","bittersweet","bittersweet","true","1","0.450","0.430","bittersweet"
"very-long-241","Very Long","frustrated","angry","false","1","0.220","0.124",""
"very-long-242","Very Long","anxious","sad","false","1","0.280","0.383",""
"very-long-243","Very Long","disgust","silent","false","1","0.120","",""
"very-long-244","Very Long","happy","happy","true","1","0.700","1.000",""
"very-long-245","Very Long","sad","sad","true","1","0.600","1.000",""
"very-long-246","Very Long","angry","angry","true","1","0.850","1.000",""
"multi-sentence-conversation-247","Multi-Sentence Conversation","happy","happy","true","3","0.800","0.516",""
"multi-sentence-conversation-248","Multi-Sentence Conversation","angry","angry","true","3","0.700","0.414",""
"multi-sentence-conversation-249","Multi-Sentence Conversation","overwhelmed","sad","false","3","0.200","1.000",""
"multi-sentence-conversation-250","Multi-Sentence Conversation","sad","sad","true","3","0.500","0.555",""
"multi-sentence-conversation-251","Multi-Sentence Conversation","bittersweet","happy","false","3","0.400","0.458",""
"multi-sentence-conversation-252","Multi-Sentence Conversation","anxious","sad","false","3","0.350","0.429",""
"multi-sentence-conversation-253","Multi-Sentence Conversation","happy","happy","true","3","0.700","0.446",""
"multi-sentence-conversation-254","Multi-Sentence Conversation","anxious","sad","false","3","0.350","0.732",""
"ambiguous-255","Ambiguous","silent","angry","false","1","0.400","0.500",""
"ambiguous-256","Ambiguous","silent","angry","false","1","0.400","0.500",""
"ambiguous-257","Ambiguous","silent","silent","true","1","0.500","",""
"ambiguous-258","Ambiguous","silent","silent","true","1","0.400","",""
"ambiguous-259","Ambiguous","silent","silent","true","1","0.500","",""
"ambiguous-260","Ambiguous","silent","silent","true","1","0.400","",""
"ambiguous-261","Ambiguous","silent","silent","true","1","0.400","",""
"ambiguous-262","Ambiguous","silent","silent","true","1","0.500","",""
"ambiguous-263","Ambiguous","silent","silent","true","1","0.450","",""
"ambiguous-264","Ambiguous","silent","silent","true","1","0.400","",""
"ambiguous-265","Ambiguous","silent","silent","true","1","0.450","",""
"ambiguous-266","Ambiguous","silent","silent","true","1","0.400","",""
